name	id	lat	lon
Bredstedter Straße		PK 37	Freigabe 6/2012	okay		53.5795362	10.0598458
Wackerhagen		PK 41	Freigabe 5/2012	okay		53.5515305	10.0602388
Würffelstraße		PK 46	Freigabe 2012	okay		53.4529362	9.9769852
Kleiner Pulverteich		PK 11		okay		53.5540696	10.0147645
Große Theaterstraße		PK 14	Freigabe 10/2014	okay		53.5562947	9.9914116
Wiedehopfstieg		PK 36		okay		53.5926093	10.0697038
Walsroder Ring		PK 46	Freigabe 2012	okay		53.4353109	9.989245
Bräsigweg		PK 36		okay		53.617758	10.075745
Gerstenbergstraße		PK 26	Freigabe 6/2012	okay		53.561357	9.8494242
Starstraße		PK 31	Freigabe 6/2012	okay		53.5892588	10.0488011
Drehbahn		PK 14		okay		53.5565446	9.9860881
Neue Wöhr		PK 31	Freigabe 6/2012	okay		53.598452	10.0392869
Sternbergweg		PK 26	Freigabe 6/2012	okay		53.5653546	9.8481458
Zeißstraße		PK 21	Freigabe 6/2012	okay		53.5548489	9.9313339
Berlepschweg		PK 46	Freigabe 2012	okay		53.4407328	9.9986451
Hortensienweg		PK 37		okay		53.5918877	10.0804502
Von-Graffen-Straße		PK 41	Freigabe 5/2012	okay		53.5547679	10.0393991
Schaudinnstwiete		PK 31	Freigabe 6/2012	okay		53.5988863	10.0369969
Wetkesgarten		PK 41	Freigabe 5/2012	okay		53.5523856	10.0615863
Meyerstraße		PK 46		okay		53.4637496	9.9609341
Beim Trichter		PK 15		okay		53.5498149	9.967212
Döhnerstraße		PK 41	Freigabe 5/2012	okay		53.5532772	10.0565017
Anzengruberstraße		PK 46	Freigabe 2012	okay		53.4497878	9.989763
Dobbelersweg		PK 41	Freigabe 5/2012	okay		53.5533074	10.0531026
Tangstedter Landstraße		PK 34		okay		53.6675295	10.0246791
Redder		PK 35		okay		53.6438387	10.1148987
Schneverdinger Weg		PK 46		okay		53.4405002	9.9920194
Karstenstraße		PK 26	Freigabe 6/2012	okay		53.5643817	9.8032555
Hiddingaweg		PK 36		okay		53.5981988	10.0513249
Moltkestraße		PK 23		okay		53.5799283	9.9722785
Eschelsweg		PK 21	Freigabe 6/2012	okay		53.5508212	9.9455403
