De-Voß-Straße		PK 21	Freigabe 6/2012	okay		53.5454227	9.9496376
Denickestr.		PK 46		pruefen			
Desenißstraße		PK 31		okay		53.5745982	10.0330726
Detlev-Bremer-Straße		PK 15	Freigabe 5/2012	okay		53.5526627	9.965533
Diebsteichweg		PK 25	Freigabe 5/2012	okay		53.57037	9.9278204
Diesterwegstraße		PK 31	Freigabe 8/2012	okay		53.589097	10.0454632
Dillstraße		PK 17		okay		53.5701995	9.9828243
Dimpfelweg		PK 41	Freigabe 5/2012	okay		53.5526818	10.051143
Dobbelersweg		PK 41	Freigabe 5/2012	okay		53.5533074	10.0531026
Döhnerstraße		PK 41	Freigabe 5/2012	okay		53.5532772	10.0565017
Dorfgang		PK 41	Freigabe 5/2012	okay		53.5569512	10.0508323
Drehbahn		PK 14		okay		53.5565446	9.9860881
Drögestraße		PK 31	Freigabe 6/2012	okay		53.589673	10.0451816
Droopweg		PK 41	Freigabe 5/2012	okay		53.552993	10.0609156
Dulsberg-Süd		PK 37		okay		53.5837277	10.0632319
Dunckersweg		PK 42		okay		53.5527619	10.0786552
Durchschnitt		PK 17		okay		53.5647483	9.9797477
Efeuweg		PK 33		okay		53.5999806	9.9992562
Eichenstraße		PK 23		okay		53.5777832	9.9532215
Eiffestraße (Nebenfahrbahn)		PK 41	Freigabe 5/2012	pruefen			
Eilbeker Weg		PK 31		okay		53.5701249	10.0472317
Eilbektal		PK 31		okay		53.5760119	10.05824
Eisenlohrsweg		PK 23		okay		53.5874079	9.9787976
Elisenstraße		PK 31	inzwischen freigegeben (12/14)	okay		53.5609955	10.0326561
Ellenbogen		PK 17		okay		53.5696696	9.9710058
Elsässer Straße		PK 37	Freigabe 5/2012	okay		53.5851355	10.0600432
Erik-Blumfeld-Platz		PK 26	Freigabe 6/2012	pruefen			
Ernst-Eger-Str.		PK 46		pruefen			
Eschelsweg		PK 21	Freigabe 6/2012	okay		53.5508212	9.9455403
Eupener Straße		PK 37	Freigabe 5/2012	okay		53.5802935	10.0650329
Ewaldsweg		PK 41	Freigabe 5/2012	okay		53.5527973	10.0660226
Eydtkuhnenweg		PK 37	Freigabe 5/2012	okay		53.5940027	10.0890306
Feldrosenweg		PK 27		okay		53.6120818	9.8857812
Femerlingweg		PK 46		pruefen			
Feuerberg		PK 46	Freigabe 2012	okay		53.4313268	9.96112
Fiefstücken		PK 33		okay		53.5994689	10.003541
Flotowstraße		PK 31		okay		53.5785174	10.0269315
Forbacher Straße		PK 37	frei 1/2014	okay		53.5813603	10.0598985
Forsmannstraße		PK 33	inzwischen freigegeben (12/14)	okay		53.5851979	10.0130332
Fraenkelstraße		PK 31	Freigabe 6/2012	okay		53.5990577	10.0375782
Framheinstraße		PK 31	Freigabe 6/2012	okay		53.5769501	10.0295299
Friedrich-Legahn-Straße		PK 26	Freigabe 6/2012	okay		53.5628713	9.8106644
Fritz-Reuter-Straße		PK 36		okay		53.6185919	10.0773525
Fuchsloch		PK 41	Freigabe 5/2012	okay		53.5600871	10.0527219
Fuhlsbüttler Straße (Hellbrookstr - Pestalozzistr.)		PK 31		pruefen			
Funkstraße		PK 21	Freigabe 6/2012	okay		53.5500454	9.9438242
Gazertstraße		PK 46		okay		53.4578721	9.9681005
Gebweiler Straße		PK 37		okay		53.5823802	10.0613543
Gellersenweg		PK 46	Freigabe 2012	okay		53.4552465	9.9475602
Gerstenbergstraße		PK 26	Freigabe 6/2012	okay		53.561357	9.8494242
Gerstenkamp		PK 31	Freigabe 6/2012	okay		53.5807917	10.0476559
Geschwister-Scholl-Straße		PK 23		okay		53.5943996	9.9810139
Gilcherweg		PK 35	Freigabe 6/2012	okay		53.6495837	10.1078676
Gnadenbergweg		PK 34	Freigabe 6/2012	okay		53.6353363	10.034784
Goldbekufer		PK 33	Freigabe 6/2012	okay		53.5886629	10.01977
