name	id	lat	lon
Rellinger Weg	23780939	53.6255684	9.8896366
Reinholdstraße	23806619	53.4545363	9.9848893
Thusneldastraße	23821240	53.5815336	9.9357366
Radenwisch	23840334	53.6400135	9.9230374
Biedermannplatz	24273375	53.5812571	10.0338897
Von-Axen-Straße	24273391	53.5802113	10.0246431
Steinhoffweg	24404063	53.6228186	9.9661378
Nettelbeckstraße	24506916	53.5643579	9.9139745
Spandauer Weg	24527019	53.5830698	10.1395039
Kuehnstieg	24555763	53.5769681	10.116468
Reekamp	24808073	53.6528773	10.0100934
Bei der Reitbahn	24840613	53.5512223	9.9252974
Beetsweg	24978689	53.5506455	9.9321946
Öjendorfer Steinkamp	24995120	53.5410954	10.1320301
Watzenweg	25159026	53.5018717	10.1917244
Ifflandstraße	25474257	53.5608798	10.022297
Ifflandstraße	25474258	53.5620487	10.0223914
Sieldeich	25501984	53.5280335	10.0206608
Slomanstraße	25502921	53.5262254	10.0195439
Wilhelmsburger Straße	25502942	53.5274172	10.0198168
Marktstraße	25554898	53.5581777	9.9706887
Siekkamp	25610329	53.6550881	10.1158429
Gustav-Freytag-Brücke	25738379	53.5736556	10.014948
Karlstraßenbrücke	25738382	53.574586	10.0146607
Grillparzerbrücke	25738460	53.5780664	10.0140732
Schwentnerring	25810675	53.4940584	10.008812
Fährstraße	25828997	53.5163472	9.9848222
Marianne-Wolff-Weg	25996824	53.5891584	10.0586955
Glashüttenstraße	26392593	53.5580537	9.9725787
Marktstraße	26413803	53.5584172	9.9741811
Lippmannstraße	26609432	53.5604142	9.9613693
Stammannstraße	26609819	53.5864287	10.0232486
Högenstraße	26615832	53.5795573	9.9385578
Lippmannstraße	26616367	53.5614975	9.9595756
Rostocker Straße	26622843	53.5567873	10.0149781
Brunckhorstweg	26624733	53.58218	9.9357496
Am Langenzug	26627417	53.5778331	10.0133356
Hartwig-Hesse-Straße	26628670	53.5806575	9.9467014
Lattenkamp	26628835	53.601934	9.9961654
Von-Hutten-Straße	26717063	53.5714497	9.9100719
Henriettenstraße	26750204	53.5747121	9.9537127
Krohnstieg	26965851	53.6494149	10.015174
Reemstückenkamp	27004951	53.614695	9.9101333
Röweland	27051995	53.65648	10.0151293
Beim Schäferhof	27060154	53.6430492	10.0173391
Spatzenwinkel	27141383	53.5968947	9.8805374
Sievekingsallee	27224387	53.5613422	10.0499323
Jagdhorn	27356676	53.6131381	9.9831178
Große Brunnenstraße	27385218	53.5511844	9.9256613
Völckersstraße	27709723	53.5570209	9.9266936
Böckmannstraße	28001062	53.5533845	10.0171708
Vogelhüttendeichbrücke	28155763	53.5190539	9.9819103
Am Lehmberg	30640716	53.6013961	10.1431148
Leipeltstraße	30992271	53.4911793	10.0082262
Feldbrunnenstraße	31638114	53.5652187	9.9909614
Feldbrunnenstraße	31638115	53.5689651	9.9907932
Sternstraße	31987579	53.5587262	9.9669655
Rutschbahn	32847613	53.5706373	9.9827357
Gählerstraße	33791439	53.5551039	9.952336
Sengelmannstraße	34157211	53.6139459	10.0199682
Justus-Strandes-Weg	34218956	53.6255547	10.029959
Justus-Strandes-Weg	34218990	53.6242899	10.0297024
Kalischerstraße	34263087	53.4553709	9.9834577
Justus-Strandes-Weg	35050110	53.6230516	10.0294842
Keltenweg	38477728	53.6432401	9.9640792
Ratsmühlendamm	38585179	53.6269926	10.0176663
Gottschalkring	38816396	53.4517234	9.9682286
Gottschalkring	38837708	53.4507562	9.9672125
Riesserstraße	39365856	53.5616627	10.0484813
Krohnstieg	39517054	53.6488972	10.0108543
Krohnstieg	39517055	53.6490352	10.0113542
Berner Heerweg	40012674	53.6059031	10.1193065
Berner Heerweg	40014507	53.6052568	10.1186907
Freihafenstraße	40150521	53.5323695	10.0501009
Freihafenstraße	40150523	53.5331486	10.0505881
Lincolnstraße	40228311	53.5488155	9.9573503
Kraepelinweg	41401280	53.5802276	10.053308
Wittigstieg	42808727	53.5928906	10.1494492
