name	id	lat	lon
Münsterstraße	5467102	53.5945948	9.9743401
Dillstraße	5619673	53.5693353	9.9829047
Am Gleise	5823604	53.5268051	10.0174328
Meckelburgsweg	5823609	53.527193	10.0184098
Dörpkamp	6080007	53.5930463	9.928986
Krummer Kamp	7318840	53.607488	9.8910739
Hilpertweg	7564874	53.6088384	9.8851919
Mesterfeldweg	7567123	53.602937	9.8989423
Albrechtstraße	7584054	53.6050334	9.8926595
Heimstättenstraße	7584273	53.6044209	9.8929573
Rispenweg	7726733	53.5978423	9.8899293
Fraenkelstraße	7756223	53.5990577	10.0375782
Hohenberne	7918424	53.6331356	10.1350652
Hohenberne	7918430	53.6330762	10.1404568
Eggerstedtstraße	7998985	53.5609071	9.9467062
Kroosweg	8075188	53.4574941	9.9755083
Halenseering	8100785	53.5875204	10.1480667
Lohwisch	8100789	53.5900226	10.1417646
Waldweg	8168177	53.653398	10.1594831
César-Klein-Ring	8283140	53.609947	10.0590316
Hellbrookstraße	8303836	53.5916496	10.0423639
Tonndorfer Schulstraße	8326577	53.5863491	10.1278563
Lünkenweg	8328126	53.5844709	10.049545
Herzog-Alf-Weg	8329083	53.6252088	9.8981855
Aue-Insel	8364188	53.5313795	9.8853387
Butjadinger Weg	8364196	53.5280469	9.8826721
Neuer Fährweg	8365090	53.532074	9.7925643
Rosamstwiete	8382643	53.5942533	10.0477889
Lißmannseck	8382644	53.594682	10.0471188
Rendsburger Straße	8384133	53.5516608	9.9642644
Beckerberg	8391538	53.4528025	9.9838462
Immenseeweg	8412669	53.5928258	10.1756223
Bellmannstraße	8414774	53.5604901	9.8830771
Waldwinkel	8418499	53.5924675	10.1748335
Apenrader Straße	8510530	53.5849191	10.0623876
Lothringer Straße	8510532	53.5817235	10.0574081
Rambachstraße	8516454	53.5446051	9.9762862
Nikischstraße	8519476	53.5628805	9.9071599
Bunatwiete	8550461	53.4558983	9.9833324
Julius-Ertel-Straße	8550472	53.5176229	9.983975
Rudolfstraße	8550474	53.5171472	9.9838279
Reichardtstraße	8799040	53.5654971	9.9173703
Schmuckstraße	8816471	53.5512563	9.9589819
Eydtkuhnenweg	10067537	53.5940027	10.0890306
Eupener Straße	10075347	53.5802935	10.0650329
Am Rissener Bahnhof	10095533	53.5823516	9.7553765
Susannenstraße	10413865	53.5621744	9.9630629
Bredensand	10496826	53.4600278	9.9618942
Lassallestraße	10498547	53.4526983	9.986713
Friedrich-Ebert-Damm	10560514	53.6023797	10.1158895
Dulsberg-Süd	10578303	53.5837277	10.0632319
Oberschlesische Straße	10578422	53.5825775	10.0651063
Schrankenweg	10630852	53.6053923	10.1556676
Kleiner Schippsee	10751188	53.4614722	9.9829361
Bordesholmer Straße	11241748	53.606736	10.163745
Suerfeld	13257705	53.432164	9.9605687
Feuerberg	13258433	53.4313268	9.96112
Susannenstraße	13281596	53.5628054	9.9648411
Eifflerstraße	13547922	53.5624365	9.9598671
Bartholomäusstraße	13744974	53.574729	10.0301477
Framheinstraße	13745261	53.5769501	10.0295299
Martensweg	13745774	53.5806849	10.0220304
Anna-Lühring-Weg	15699695	53.5544379	10.0817887
Im Gehölz	16186395	53.5754551	9.960673
Lastropsweg	16323313	53.5788252	9.9561323
Gaußstraße	16324987	53.5551981	9.9338949
Badestraße	17760642	53.5664827	9.9976592
Singelmannsweg	21113732	53.5818111	10.1244611
Kielortallee	21321052	53.5720227	9.9737123
Wittenkamp	21393494	53.5968307	10.0486858
Wagnerkoppel	21998868	53.5966221	10.1151204
Büschstraße	22124691	53.5558047	9.9895586
Oertzweg	22279379	53.5970303	10.0555507
Wittenkamp	22284421	53.5969048	10.0512592
Sandkampstieg	22294063	53.5518722	10.0889989
O'Swaldstraße	22295708	53.554462	10.0790591
Amalie-Schoppe-Weg	22326415	53.5882799	10.0572638
Arnemannweg	22327214	53.5887333	10.0579859
Dorfgang	22341682	53.5569512	10.0508323
Lohhof	22342119	53.5584019	10.0530925
Schwarze Straße	22346468	53.5575098	10.0434176
Nerlichsweg	22498676	53.5619372	10.0547475
Schedestraße	22560859	53.5936731	9.9811027
Ottersbekallee	22663106	53.5779318	9.9561144
Wiesenstraße	22663120	53.5770253	9.9546848
Steckelhörn	22700966	53.5455508	9.9934769
Diebsteichweg	22725336	53.57037	9.9278204
Bethesdastraße	22741708	53.5581593	10.041955
Sibbertstraße	22745336	53.5635899	9.8065579
Vogesenstraße	22745505	53.5818591	10.0591316
Metzer Straße	22745540	53.5811797	10.0589853
Forbacher Straße	22745545	53.5813603	10.0598985
Gebweiler Straße	22745607	53.5823802	10.0613543
Schilfgrund	22745764	53.5953149	10.0947846
Binsengrund	22745795	53.5951776	10.0963513
In der Niederung	22768043	53.5968433	10.0886755
Moorgrund	22768065	53.5979908	10.0879065
Markusstraße	22790987	53.55118	9.9797823
Sentastraße	22802656	53.5824083	10.0361821
Laubsängerweg	22804068	53.5989208	9.8893895
Sperberkamp	22907377	53.6350716	10.1079415
Holunderkamp	22925546	53.6390932	10.1501517
Altenhagener Weg	22966778	53.6060715	10.1315468
Eichenstraße	22984406	53.5769577	9.9556835
Berner Koppel	22998330	53.6247027	10.1351616
Hofstückenweg	23011728	53.6231249	10.1707153
Schierhornstieg	23011731	53.6233871	10.1679588
Wesselburer Weg	23046222	53.5719344	9.8454191
Greifswalder Straße	23049814	53.5570845	10.0116347
Lange Reihe	23049818	53.5564277	10.0103212
Prätoriusweg	23064170	53.5801674	9.9527844
Odenwaldstraße	23064171	53.5794547	9.9519836
Wriedestraße	23066339	53.5352456	9.8780111
Schadesweg	23068791	53.5462969	10.0518973
Grädenerstraße	23100114	53.5745572	9.9433978
Spengelweg	23100115	53.573915	9.9436953
Selliusstraße	23118766	53.5807523	9.9503506
Clasingstraße	23118767	53.5803091	9.9501785
Schopstraße	23118823	53.5784304	9.9461469
Rombergstraße	23118824	53.5779804	9.9459467
Grundstraße	23124381	53.5772532	9.9442322
Weckmannweg	23124382	53.5769248	9.9411655
Matthesonstraße	23124383	53.5779602	9.9401034
Grundstraße	23124414	53.5763226	9.9418786
Stellinger Weg	23124590	53.5811491	9.9460423
Voigtstraße	23193258	53.5757734	9.9423172
Museumstraße	23207114	53.5485547	9.9348657
Wedeler Landstraße	23218301	53.5818823	9.7564028
Hornissenweg	23389098	53.6048556	10.1116991
Peterskampweg	23390494	53.5617533	10.0508364
Griesstraße	23390499	53.5626577	10.0536902
Großneumarkt	23474877	53.5506375	9.9793797
Kleine Rainstraße	23527739	53.5534705	9.9300582
Poppenbüttler Hauptstraße	23547060	53.6618168	10.0865101
Moorhof	23547061	53.6615685	10.0860617
Paulinenallee	23654661	53.5680236	9.9497143
Alardusstraße	23687593	53.5765514	9.9620833
Fettstraße	23687641	53.5674259	9.962735
Friedrich-Legahn-Straße	23754219	53.5628713	9.8106644
